"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Cayuga","COUNTY","2024-09-03T00:00:00.000","2024-2025","230","308"
"Chautauqua","COUNTY","2024-09-03T00:00:00.000","2024-2025","487","495"
"Chemung","COUNTY","2024-09-03T00:00:00.000","2024-2025","277","328"
"Chenango","COUNTY","2024-09-03T00:00:00.000","2024-2025","52","101"
"Clinton","COUNTY","2024-09-03T00:00:00.000","2024-2025","222","315"
"Columbia","COUNTY","2024-09-03T00:00:00.000","2024-2025","353","261"
"Cortland","COUNTY","2024-09-03T00:00:00.000","2024-2025","191","247"
"Delaware","COUNTY","2024-09-03T00:00:00.000","2024-2025","122","111"
"Dutchess","COUNTY","2024-09-03T00:00:00.000","2024-2025","1430","1312"
"Erie","COUNTY","2024-09-03T00:00:00.000","2024-2025","3490","5356"
"Essex","COUNTY","2024-09-03T00:00:00.000","2024-2025","84","151"
"Franklin","COUNTY","2024-09-03T00:00:00.000","2024-2025","121","177"
"Fulton","COUNTY","2024-09-03T00:00:00.000","2024-2025","92","127"
"Genesee","COUNTY","2024-09-03T00:00:00.000","2024-2025","168","313"
"Greene","COUNTY","2024-09-03T00:00:00.000","2024-2025","108","97"
"Hamilton","COUNTY","2024-09-03T00:00:00.000","2024-2025","17","16"
"Herkimer","COUNTY","2024-09-03T00:00:00.000","2024-2025","133","187"
"Jefferson","COUNTY","2024-09-03T00:00:00.000","2024-2025","240","369"
"Kings","COUNTY","2024-09-03T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-09-03T00:00:00.000","2024-2025","45","95"
"Livingston","COUNTY","2024-09-03T00:00:00.000","2024-2025","255","280"
"Madison","COUNTY","2024-09-03T00:00:00.000","2024-2025","182","248"
"Monroe","COUNTY","2024-09-03T00:00:00.000","2024-2025","5283","4850"
"Montgomery","COUNTY","2024-09-03T00:00:00.000","2024-2025","86","147"
"Nassau","COUNTY","2024-09-03T00:00:00.000","2024-2025","4487","7034"
"New York","COUNTY","2024-09-03T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-09-03T00:00:00.000","2024-2025","539","1131"
"Oneida","COUNTY","2024-09-03T00:00:00.000","2024-2025","472","657"
"Onondaga","COUNTY","2024-09-03T00:00:00.000","2024-2025","2139","2387"
"Ontario","COUNTY","2024-09-03T00:00:00.000","2024-2025","646","720"
"Orange","COUNTY","2024-09-03T00:00:00.000","2024-2025","982","1439"
"Orleans","COUNTY","2024-09-03T00:00:00.000","2024-2025","69","195"
"Oswego","COUNTY","2024-09-03T00:00:00.000","2024-2025","189","374"
"Otsego","COUNTY","2024-09-03T00:00:00.000","2024-2025","204","182"
"Putnam","COUNTY","2024-09-03T00:00:00.000","2024-2025","393","414"
"Queens","COUNTY","2024-09-03T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-09-03T00:00:00.000","2024-2025","701","753"
"Richmond","COUNTY","2024-09-03T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-09-03T00:00:00.000","2024-2025","868","1325"
"Saratoga","COUNTY","2024-09-03T00:00:00.000","2024-2025","1543","1504"
"Schenectady","COUNTY","2024-09-03T00:00:00.000","2024-2025","934","900"
"Schoharie","COUNTY","2024-09-03T00:00:00.000","2024-2025","116","134"
"Schuyler","COUNTY","2024-09-03T00:00:00.000","2024-2025","84","97"
"Seneca","COUNTY","2024-09-03T00:00:00.000","2024-2025","79","131"
"St. Lawrence","COUNTY","2024-09-03T00:00:00.000","2024-2025","216","337"
"Steuben","COUNTY","2024-09-03T00:00:00.000","2024-2025","239","264"
"Suffolk","COUNTY","2024-09-03T00:00:00.000","2024-2025","4914","6310"
"Sullivan","COUNTY","2024-09-03T00:00:00.000","2024-2025","81","162"
"Tioga","COUNTY","2024-09-03T00:00:00.000","2024-2025","215","197"
"Tompkins","COUNTY","2024-09-03T00:00:00.000","2024-2025","972","959"
"Ulster","COUNTY","2024-09-03T00:00:00.000","2024-2025","1042","794"
"Warren","COUNTY","2024-09-03T00:00:00.000","2024-2025","310","385"
"Washington","COUNTY","2024-09-03T00:00:00.000","2024-2025","180","259"
"Wayne","COUNTY","2024-09-03T00:00:00.000","2024-2025","377","445"
"Westchester","COUNTY","2024-09-03T00:00:00.000","2024-2025","5032","5255"
"Wyoming","COUNTY","2024-09-03T00:00:00.000","2024-2025","54","125"
"Yates","COUNTY","2024-09-03T00:00:00.000","2024-2025","126","136"
"Capital Region","REGION","2024-09-03T00:00:00.000","2024-2025","6136","6064"
"Central New York","REGION","2024-09-03T00:00:00.000","2024-2025","2931","3564"
"Finger Lakes","REGION","2024-09-03T00:00:00.000","2024-2025","7057","7195"
"Long Island","REGION","2024-09-03T00:00:00.000","2024-2025","9401","13344"
"Mid-Hudson","REGION","2024-09-03T00:00:00.000","2024-2025","9828","10701"
